2019-05-14 10:34:26.113  INFO 11397 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 10:34:57.469  INFO 11397 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 10:34:57.469  INFO 11397 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 10:34:59.387  INFO 11397 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 10:35:01.563  INFO 11397 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 10:35:12.777  INFO 11397 --- [RMI TCP Connection(2)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-05-14 10:35:12.778  INFO 11397 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-05-14 10:35:12.779  INFO 11397 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-14 10:35:12.781  INFO 11397 --- [RMI TCP Connection(2)-127.0.0.1] org.mongodb.driver.connection            : Closed connection [connectionId{localValue:2, serverValue:68}] to localhost:27017 because the pool has been closed.
2019-05-14 10:36:45.826  INFO 11870 --- [main] c.k.middleware.MiddleWareApplication     : Starting MiddleWareApplication on adjetter-debian with PID 11870 (/root/eclipse-workspace/MiddleWareServer/target/classes started by root in /root/eclipse-workspace/MiddleWareServer)
2019-05-14 10:36:45.828  INFO 11870 --- [main] c.k.middleware.MiddleWareApplication     : No active profile set, falling back to default profiles: default
2019-05-14 10:36:46.230  INFO 11870 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2019-05-14 10:36:46.290  INFO 11870 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 55ms. Found 5 repository interfaces.
2019-05-14 10:36:46.758  INFO 11870 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-05-14 10:36:46.775  INFO 11870 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-05-14 10:36:46.776  INFO 11870 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
2019-05-14 10:36:46.780  INFO 11870 --- [main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib]
2019-05-14 10:36:46.824  INFO 11870 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-05-14 10:36:46.824  INFO 11870 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 959 ms
2019-05-14 10:36:47.010  INFO 11870 --- [main] org.mongodb.driver.cluster               : Cluster created with settings {hosts=[localhost:27017], mode=MULTIPLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2019-05-14 10:36:47.010  INFO 11870 --- [main] org.mongodb.driver.cluster               : Adding discovered server localhost:27017 to client view of cluster
2019-05-14 10:36:47.038  INFO 11870 --- [cluster-ClusterId{value='5cda4ce7ff122f2e5efe9f96', description='null'}-localhost:27017] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:1, serverValue:71}] to localhost:27017
2019-05-14 10:36:47.040  INFO 11870 --- [cluster-ClusterId{value='5cda4ce7ff122f2e5efe9f96', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[3, 4, 18]}, minWireVersion=0, maxWireVersion=5, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=null, roundTripTimeNanos=804009}
2019-05-14 10:36:47.040  INFO 11870 --- [cluster-ClusterId{value='5cda4ce7ff122f2e5efe9f96', description='null'}-localhost:27017] org.mongodb.driver.cluster               : Discovered cluster type of STANDALONE
2019-05-14 10:36:47.456  INFO 11870 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-05-14 10:36:47.547  INFO 11870 --- [main] o.s.b.a.w.s.WelcomePageHandlerMapping    : Adding welcome page template: index
2019-05-14 10:36:47.586  INFO 11870 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2019-05-14 10:36:47.630  INFO 11870 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2019-05-14 10:36:47.632  INFO 11870 --- [main] c.k.middleware.MiddleWareApplication     : Started MiddleWareApplication in 2.072 seconds (JVM running for 2.399)
2019-05-14 10:36:47.647  INFO 11870 --- [scheduling-1] org.mongodb.driver.connection            : Opened connection [connectionId{localValue:2, serverValue:72}] to localhost:27017
2019-05-14 10:36:47.668  INFO 11870 --- [scheduling-1] c.k.middleware.AuthImpl.BasicAuthImpl    : Shopify
2019-05-14 10:36:51.226  INFO 11870 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity Shopify
2019-05-14 10:36:51.227  INFO 11870 --- [scheduling-1] c.k.m.AuthImpl.ResponseBodyAuthImpl      : 99acres
2019-05-14 10:36:53.282  INFO 11870 --- [scheduling-1] c.kapture.middleware.services.Processor  : Saved Entity 99acres
2019-05-14 10:36:54.728  INFO 11870 --- [scheduling-1] c.k.middleware.Scheduler.PushScheduler   : Nothing is there for  Facebook
2019-05-14 10:37:07.661  INFO 11870 --- [RMI TCP Connection(2)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-05-14 10:37:07.662  INFO 11870 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-05-14 10:37:07.663  INFO 11870 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-14 10:37:07.666  INFO 11870 --- [RMI TCP Connection(2)-127.0.0.1] org.mongodb.driver.connection            : Closed connection [connectionId{localValue:2, serverValue:72}] to localhost:27017 because the pool has been closed.
